,Recording,DATE,TIME,WP,Treatment,Track,DIAH,DICDV,HD,VD,H app d,V app d,Other
24,02222024_trial21,2/22/24,10:09,1612,More,1,N,N,19.6,5.6,0,0,Was looking during playback but neither the male nor female responded much to the call.
25,02232024_trial22,2/23/24,11:05,1613,Control,1,N,N,14.6,7.6,0,0,Neither in the pair responded. Looked briefly but quickly went back to foraging 
26,02262024_trial23,2/26/24,10:19,1614,More,3,N,N,6.2,8.2,0,0,"
"
27,02262024_trial24,2/26/24,11:51,1615,Control,2,N,N,14.6,7.2,0,0,"
"
28,,2/27/24,9:35,1616,More,1,N,N,11.4,0.2,0,0,"No vocal response. Both the female and male stood still the whole time, but were looking in the direction of the speaker. They both had their feathers fluffed up as if they were cold. Much colder and windier than previous days. "
29,02292024_trial25,2/29/24,10:13,1617,Less,2,N,N,21.6,12.4,0,0,End position was further away in both height and distance. Looked briefly then went back to foraging shortly after.
30,,2/29/24,10:34,1618,Less,1,N,N,14.6,12,0,0,No vocal response. Recorder died during trial but they did not make any calls during the trial. A neighboring nuthatch pair was responding.
31,02292024_trial26,2/29/24,11:20,1619,More,2,N,N,23.2,4.4,0,0,"The were foraging most of the time. Female was looking in our direction for some time, but male remained foraging. The male had a small vocal response. I cut the audio in two on this trial because I was scared of the recorder dying. "
32,03012024_trial27,3/1/24,9:45,1620,More,2,Y,Y,36.6,3.6,0,3.8,Negative approach but flew directly over a.u
33,03012024_trial28,3/1/24,10:34,1621,Less,3,N,N,52.2,13.2,0,0,
34,03052024_trial29,3/5/24,10:09,1622,More,3,N,N,14.4,10.6,0,0,No vocal response 
35,03052024_trial30,3/5/24,10:53,1623,Less,1,N,N,27.8,7.6,0,0,No response. Started making vocal response when joined territory dispute.
36,03082024_trial31,3/8/24,10:38,1624,More,1,Y,N,10.8,4.2,2.6,0,
37,03082024_trial32,3/8/24,11:23,1625,Less,2,N,Y,19.4,0.2,0,2,
